date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:08	44/44	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Nov%202023%2022:21:07%20GMT	https://sfrbm.org/robots.txt		(from )
22:21:08	20638/20638	---MC-	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202023%2022:21:07%20GMT	https://sfrbm.org/meetings/sfrbm-sfrri-2023/	C:/Users/stpv9/Documents/DC/work/SFRRI/SfRBM%20-%20SFRRI%202023%20Conference%20WEBSITE%20part/SfRBM%20-%20SFRRI%202023%20Conference/sfrbm.org/meetings/sfrbm-sfrri-2023/index.html	(from )
22:21:09	121217/121217	---M--	200	added ('OK')	text/css	etag:%221d981-5e3136f600200%22	https://sfrbm.org/site/assets/css/bootstrap.min.css	C:/Users/stpv9/Documents/DC/work/SFRRI/SfRBM%20-%20SFRRI%202023%20Conference%20WEBSITE%20part/SfRBM%20-%20SFRRI%202023%20Conference/sfrbm.org/site/assets/css/bootstrap.min.css	(from https://sfrbm.org/meetings/sfrbm-sfrri-2023/)
22:21:09	14474/14474	---M--	200	added ('OK')	text/css	etag:%22388a-59eca722282c0%22	https://sfrbm.org/site/assets/css/sfrbm.min.css?v=0acc90139c4f7c65a0ffeddb7915960d	C:/Users/stpv9/Documents/DC/work/SFRRI/SfRBM%20-%20SFRRI%202023%20Conference%20WEBSITE%20part/SfRBM%20-%20SFRRI%202023%20Conference/sfrbm.org/site/assets/css/sfrbm.minf6df.css	(from https://sfrbm.org/meetings/sfrbm-sfrri-2023/)
22:21:09	46583/46583	---M-Z	200	added ('OK')	text/css	etag:%221f86b2298f610cfd578349a148c4f765%22	https://vjs.zencdn.net/7.19.2/video-js.css	C:/Users/stpv9/Documents/DC/work/SFRRI/SfRBM%20-%20SFRRI%202023%20Conference%20WEBSITE%20part/SfRBM%20-%20SFRRI%202023%20Conference/vjs.zencdn.net/7.19.2/video-js.css	(from https://sfrbm.org/meetings/sfrbm-sfrri-2023/)
22:21:09	15299/15299	---M--	200	added ('OK')	image/png	etag:%223bc3-537768eef653c%22	https://sfrbm.org/site/assets/images/SFRBM-logo.png	C:/Users/stpv9/Documents/DC/work/SFRRI/SfRBM%20-%20SFRRI%202023%20Conference%20WEBSITE%20part/SfRBM%20-%20SFRRI%202023%20Conference/sfrbm.org/site/assets/images/SFRBM-logo.png	(from https://sfrbm.org/meetings/sfrbm-sfrri-2023/)
22:21:09	368/368	---M--	200	added ('OK')	image/png	etag:%22170-53bd87dd7e933%22	https://sfrbm.org/site/assets/images/facebook-icon-top.png	C:/Users/stpv9/Documents/DC/work/SFRRI/SfRBM%20-%20SFRRI%202023%20Conference%20WEBSITE%20part/SfRBM%20-%20SFRRI%202023%20Conference/sfrbm.org/site/assets/images/facebook-icon-top.png	(from https://sfrbm.org/meetings/sfrbm-sfrri-2023/)
22:21:10	462/462	---M--	200	added ('OK')	image/png	etag:%221ce-53bd87ddd5721%22	https://sfrbm.org/site/assets/images/twitter-icon-top.png	C:/Users/stpv9/Documents/DC/work/SFRRI/SfRBM%20-%20SFRRI%202023%20Conference%20WEBSITE%20part/SfRBM%20-%20SFRRI%202023%20Conference/sfrbm.org/site/assets/images/twitter-icon-top.png	(from https://sfrbm.org/meetings/sfrbm-sfrri-2023/)
22:21:10	504/504	---M--	200	added ('OK')	image/png	etag:%221f8-53bda8bf09b15%22	https://sfrbm.org/site/assets/images/blog-icon-top.png	C:/Users/stpv9/Documents/DC/work/SFRRI/SfRBM%20-%20SFRRI%202023%20Conference%20WEBSITE%20part/SfRBM%20-%20SFRRI%202023%20Conference/sfrbm.org/site/assets/images/blog-icon-top.png	(from https://sfrbm.org/meetings/sfrbm-sfrri-2023/)
22:21:10	1362/1362	---M--	200	added ('OK')	image/png	etag:%22552-535b790bc8663%22	https://sfrbm.org/site/assets/images/search-icon.png	C:/Users/stpv9/Documents/DC/work/SFRRI/SfRBM%20-%20SFRRI%202023%20Conference%20WEBSITE%20part/SfRBM%20-%20SFRRI%202023%20Conference/sfrbm.org/site/assets/images/search-icon.png	(from https://sfrbm.org/meetings/sfrbm-sfrri-2023/)
